CU,Name,New,StageIn,Allocate,Exec,StageOut,Done,Read,Exec,Write
unit.000000,Mapper-0-1,N/A,15.3335461617,15.3721470833,26.3600070477,400.544101954,403.565788984,0.00531,293.616092,0.010766
unit.000001,Mapper-0-2,N/A,15.3186531067,15.3308811188,25.3600070477,465.697287083,467.413711071,0.005319,313.48648,0.027489
unit.000002,Mapper-0-3,N/A,15.5031950474,15.7842600346,765.360007048,1050.45707107,1053.64293694,0.005207,264.838205,0.011445
unit.000003,Mapper-0-4,N/A,15.4794850349,15.7448861599,497.360007048,858.866719961,859.794141054,0.005243,272.054173,0.01082
unit.000004,Mapper-0-5,N/A,15.4391460419,15.674487114,474.360007048,867.802061081,868.749062061,0.005217,293.086668,0.010754
unit.000005,Mapper-0-6,N/A,15.3632450104,15.4701371193,37.3600070477,456.293274164,459.544320107,0.005302,308.465544,0.786346
unit.000006,Mapper-0-7,N/A,15.3748431206,15.5098130703,38.3600070477,474.475183964,476.472162008,0.005307,297.384175,0.010432
unit.000007,Mapper-0-8,N/A,15.3922829628,15.5677120686,45.3600070477,486.359992981,487.614024162,0.005329,303.19286,0.011494
unit.000008,Mapper-0-9,N/A,15.4097340107,15.6248049736,411.360007048,750.292479992,751.915761948,0.005164,268.685179,0.011138
unit.000009,Mapper-0-10,N/A,15.4625649452,15.7147409916,493.360007048,813.039021969,814.61819005,0.005344,267.677448,0.010675
unit.000010,Mapper-0-11,N/A,15.4213650227,15.6450331211,440.360007048,758.854496956,760.680114985,0.00538,287.192087,0.01085
unit.000011,Mapper-0-12,N/A,15.4851591587,15.754750967,502.360007048,867.194067001,868.549647093,0.005188,273.702909,0.010624
unit.000012,Mapper-0-13,N/A,15.4271919727,15.6547620296,469.360007048,766.711971998,767.406636953,0.005233,268.731315,0.025575
unit.000013,Mapper-0-14,N/A,15.357378006,15.4509110451,29.3600070477,491.790076971,494.753915071,0.005349,310.502488,0.584132
unit.000014,Mapper-0-15,N/A,15.4971430302,15.7744469643,756.360007048,1049.31842709,1050.61273313,0.005456,268.783045,0.010857
unit.000015,Mapper-0-16,N/A,15.3806960583,15.5292849541,40.3600070477,430.923825026,432.940732002,0.005311,297.868886,0.011368
unit.000016,Mapper-0-17,N/A,15.3689670563,15.4892370701,46.3600070477,463.686833143,465.22024703,0.005416,309.946095,0.011597
unit.000017,Mapper-0-18,N/A,15.3865380287,15.5480260849,42.3600070477,489.771224022,491.083327055,0.005364,314.658255,0.025957
unit.000018,Mapper-0-19,N/A,15.3394711018,15.3918859959,25.3600070477,457.961936951,459.549473047,0.00535,307.36158,1.700417
unit.000019,Mapper-0-20,N/A,15.3273730278,15.3514990807,26.3600070477,485.146234989,486.455132008,0.005382,300.553991,0.279983
unit.000020,Mapper-0-21,N/A,15.4154789448,15.6349101067,457.360007048,780.350821972,781.651721954,0.005364,293.041247,0.011667
unit.000021,Mapper-0-22,N/A,15.4333701134,15.664714098,470.360007048,866.286338091,868.362023115,0.005228,298.492491,0.01145
unit.000022,Mapper-0-23,N/A,15.4681279659,15.7245550156,495.360007048,858.261394024,859.519042015,0.005244,275.567725,0.01155
unit.000023,Mapper-0-24,N/A,15.4569079876,15.7045841217,494.360007048,873.622565031,875.11571908,0.005302,270.741707,0.011628
unit.000024,Mapper-0-25,N/A,15.4451429844,15.6843869686,474.360007048,873.21983695,875.019324064,0.005304,296.535029,0.011641
unit.000025,Mapper-0-26,N/A,15.4739339352,15.7345890999,496.360007048,846.72717309,849.489381075,0.005201,285.354674,0.011866
unit.000026,Mapper-0-27,N/A,15.4912540913,15.7647140026,504.360007048,867.598737955,868.657796144,0.005267,278.224688,0.011781
unit.000027,Mapper-0-28,N/A,15.3514561653,15.4308509827,35.3600070477,425.701804161,428.561303139,0.005315,306.995195,0.011243
unit.000028,Mapper-0-29,N/A,15.4511370659,15.6947741508,482.360007048,866.690099955,868.444843054,0.005304,287.759851,0.011141
unit.000029,Mapper-0-30,N/A,15.3981010914,15.5872731209,49.3600070477,494.100137949,496.033592939,0.005287,309.227935,0.011204
unit.000030,Mapper-0-31,N/A,15.3455109596,15.4114460945,26.3600070477,490.974128008,494.569016933,0.005285,306.503271,0.033904
unit.000031,Mapper-0-32,N/A,15.4040460587,15.6060509682,48.3600070477,494.304192066,496.220294952,0.005109,309.920532,0.011746
unit.000032,Reducer-0,N/A,1064.37711906,1064.6765511,1069.36000705,1081.39376116,1085.65041995,1.976235,2.389575,0.006729
unit.000033,Mapper-1-1,N/A,1104.31706309,1104.32851005,1118.36000705,1484.61736393,1485.98259997,0.005221,271.273593,0.435026
unit.000034,Mapper-1-2,N/A,1105.8322401,1106.81922412,1124.36000705,1490.281394,1492.59964609,0.005232,271.358043,0.010767
unit.000035,Mapper-1-3,N/A,1119.57820201,1119.59058809,1525.36000705,1901.57228994,1902.78632712,0.005247,267.500885,0.0114
unit.000036,Mapper-1-4,N/A,1120.92307305,1120.93482709,1780.36000705,2064.04558802,2065.60357308,0.005497,268.213525,0.011439
unit.000037,Mapper-1-5,N/A,1106.95554209,1106.96610904,1123.36000705,1516.08658314,1519.73793507,0.005295,275.423751,0.011168
unit.000038,Mapper-1-6,N/A,1108.39412713,1108.41654205,1480.36000705,1774.13948798,1775.68326497,0.005505,274.235769,0.010916
unit.000039,Mapper-1-7,N/A,1114.57218504,1115.194695,1505.36000705,1869.27327704,1872.11232114,0.005324,271.638379,0.010949
unit.000040,Mapper-1-8,N/A,1111.384408,1112.05344915,1497.36000705,1899.46656013,1901.47048807,0.005329,281.371007,0.010582
unit.000041,Mapper-1-9,N/A,1102.86802816,1102.87903595,1113.36000705,1505.70532608,1507.3115561,0.005132,269.232072,0.010979
unit.000042,Mapper-1-10,N/A,1111.37299109,1111.38466311,1490.36000705,1806.86413002,1812.05502605,0.005308,273.751834,0.010727
unit.000043,Mapper-1-11,N/A,1100.65666413,1100.66809916,1137.36000705,1518.3384521,1521.01544213,0.005194,279.274642,0.011366
unit.000044,Mapper-1-12,N/A,1107.25216103,1107.29418015,1125.36000705,1497.52332306,1502.84735608,0.005234,277.601107,0.010989
unit.000045,Mapper-1-13,N/A,1099.1689291,1099.17983913,1106.36000705,1481.57599401,1482.53696704,0.005258,271.93272,3.069806
unit.000046,Mapper-1-14,N/A,1096.3173821,1096.378654,1101.36000705,1478.82647109,1480.34588313,0.005283,273.097921,0.011085
unit.000047,Mapper-1-15,N/A,1115.19451499,1115.22198105,1508.36000705,1858.04229903,1859.60041595,0.005465,275.523359,0.011085
unit.000048,Mapper-1-16,N/A,1095.50890708,1095.5305481,1100.36000705,1491.45096397,1492.78481793,0.005408,271.653545,0.010443
unit.000049,Mapper-1-17,N/A,1120.93460011,1120.94566393,1815.36000705,2109.72185993,2112.99356413,0.005256,266.438007,0.011128
